price,room_type,neighbourhood_cleansed,property_type,accommodates,beds,number_of_reviews,reviews_per_month,last_review,availability_365
$240.00,Entire home/apt,Midtown,Entire rental unit,1,1.0,49,0.27,2022-06-21,365
$83.00,Entire home/apt,Williamsburg,Entire rental unit,3,1.0,195,1.04,2024-10-05,185
$65.00,Private room,East Harlem,Private room in condo,1,1.0,1,0.03,2022-06-05,83
$71.00,Private room,East Harlem,Private room in rental unit,1,1.0,250,1.37,2024-10-31,284
,Private room,Williamsburg,Private room in loft,2,,13,0.08,2022-09-12,0
$205.00,Private room,Fort Greene,Private room in guest suite,2,2.0,390,2.16,2024-10-27,215
$290.00,Entire home/apt,Williamsburg,Entire place,2,1.0,13,0.07,2024-07-31,259
$170.00,Entire home/apt,Bedford-Stuyvesant,Entire loft,5,4.0,190,1.03,2023-10-16,219
$175.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,58,0.32,2017-08-13,65
$90.00,Private room,Bedford-Stuyvesant,Private room in rental unit,2,2.0,81,0.46,2024-08-19,261
,Private room,Flatbush,Private room in home,1,,0,,,0
$75.00,Private room,East Village,Private room in rental unit,2,1.0,316,1.73,2024-01-08,123
$123.00,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,2,1.0,78,0.43,2024-10-08,319
$136.00,Private room,Bedford-Stuyvesant,Private room in townhouse,2,1.0,204,1.16,2024-03-31,275
$115.00,Entire home/apt,Greenpoint,Entire rental unit,2,2.0,179,0.99,2024-09-30,276
$191.00,Entire home/apt,Lower East Side,Entire condo,3,2.0,39,0.29,2024-10-05,61
$96.00,Private room,Williamsburg,Private room in rental unit,1,1.0,59,0.33,2024-08-31,284
,Entire home/apt,Chelsea,Entire rental unit,4,,5,0.05,2018-11-03,129
$170.00,Private room,East Village,Private room in condo,1,1.0,600,4.4,2024-10-18,139
$152.00,Private room,East Village,Private room in rental unit,1,1.0,229,1.54,2024-10-24,46
$300.00,Entire home/apt,East Harlem,Entire loft,8,6.0,291,1.61,2023-09-05,266
$230.00,Entire home/apt,East Village,Entire rental unit,2,1.0,54,0.3,2024-06-06,126
$500.00,Private room,Upper East Side,Private room in rental unit,2,1.0,147,0.92,2019-09-01,365
$150.00,Private room,Chelsea,Private room in loft,3,1.0,249,1.5,2024-10-05,288
,Private room,Kips Bay,Private room in rental unit,2,,1,0.01,2016-03-22,0
$200.00,Entire home/apt,West Village,Entire rental unit,4,3.0,67,0.38,2016-08-26,312
,Private room,Flatbush,Private room in rental unit,4,,16,0.09,2019-07-20,16
$105.00,Entire home/apt,Williamsburg,Entire rental unit,2,2.0,59,0.33,2018-07-29,326
,Entire home/apt,Williamsburg,Entire rental unit,2,,165,0.96,2018-07-22,0
,Private room,Harlem,Private room in rental unit,1,,3,0.04,2019-10-21,0
$85.00,Private room,Chelsea,Private room in rental unit,2,1.0,36,0.2,2020-01-19,364
$200.00,Private room,Carroll Gardens,Private room in rental unit,2,1.0,318,1.81,2024-07-25,365
$200.00,Entire home/apt,Harlem,Entire townhouse,2,2.0,215,1.21,2019-06-17,358
$220.00,Entire home/apt,Park Slope,Entire rental unit,5,7.0,93,0.53,2024-10-29,170
,Entire home/apt,Williamsburg,Entire rental unit,4,,29,0.21,2018-05-26,0
$90.00,Entire home/apt,South Slope,Entire rental unit,2,3.0,479,2.73,2022-05-31,126
$100.00,Entire home/apt,East Village,Entire rental unit,3,2.0,25,0.15,2011-12-10,0
$150.00,Entire home/apt,Upper East Side,Entire rental unit,4,2.0,19,0.11,2017-05-31,276
$90.00,Private room,Bedford-Stuyvesant,Private room in rental unit,2,1.0,74,0.43,2024-08-03,199
$152.00,Private room,Clinton Hill,Private room in condo,2,1.0,444,2.53,2024-10-26,128
$200.00,Entire home/apt,Hell's Kitchen,Entire condo,1,1.0,75,0.43,2024-01-07,321
,Entire home/apt,West Village,Entire rental unit,2,,30,0.18,2021-03-27,0
,Private room,East Flatbush,Private room in home,2,,4,0.02,2019-10-14,0
$127.00,Private room,Clinton Hill,Private room in rental unit,2,1.0,595,3.41,2024-10-23,306
,Private room,Clinton Hill,Private room in condo,3,,92,0.53,2022-11-02,364
$195.00,Entire home/apt,Williamsburg,Entire rental unit,2,1.0,297,1.7,2024-07-23,236
,Private room,Fort Greene,Private room in townhouse,1,,36,0.4,2024-09-01,41
$200.00,Private room,Prospect Heights,Private room in rental unit,1,1.0,9,0.05,2013-05-10,362
$85.00,Private room,East Harlem,Private room in condo,2,1.0,102,0.59,2023-12-09,85
$900.00,Private room,Boerum Hill,Private room in home,2,5.0,43,0.29,2023-08-30,354
$215.00,Entire home/apt,Harlem,Entire home,2,1.0,229,1.33,2024-10-31,125
$173.00,Private room,Williamsburg,Private room in rental unit,2,1.0,269,1.55,2024-10-06,39
$139.00,Private room,Hell's Kitchen,Private room in rental unit,2,1.0,44,0.25,2019-01-03,365
$78.00,Private room,Sunnyside,Private room in condo,1,1.0,34,0.2,2024-08-05,305
,Entire home/apt,Bedford-Stuyvesant,Entire townhouse,4,,337,1.95,2019-12-12,0
$750.00,Entire home/apt,Lower East Side,Entire loft,5,4.0,70,0.4,2024-08-31,132
$185.00,Private room,Carroll Gardens,Private room in townhouse,2,1.0,220,1.28,2023-11-02,364
$155.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,4,0.05,2018-04-21,365
$110.00,Private room,Fort Greene,Private room in home,2,1.0,232,1.35,2022-09-05,365
$98.00,Entire home/apt,Williamsburg,Entire rental unit,2,0.0,124,0.72,2023-07-01,212
,Entire home/apt,Harlem,Entire rental unit,4,,18,0.24,2018-12-17,0
$73.00,Private room,West Village,Private room in rental unit,2,1.0,31,0.18,2024-08-30,153
$500.00,Entire home/apt,Ridgewood,Entire townhouse,16,9.0,13,0.08,2019-11-12,365
$60.00,Private room,Mott Haven,Private room in rental unit,1,1.0,0,,,83
$77.00,Private room,Morningside Heights,Private room in bed and breakfast,2,1.0,134,0.8,2024-08-13,220
,Entire home/apt,Park Slope,Entire rental unit,2,,57,0.34,2024-01-04,0
$100.00,Private room,Park Slope,Private room in home,2,1.0,73,0.42,2024-10-09,263
$95.00,Private room,Bedford-Stuyvesant,Private room in home,3,2.0,28,0.17,2024-08-18,323
,Private room,Upper East Side,Private room in rental unit,1,,0,,,0
$171.00,Private room,Ditmars Steinway,Private room in townhouse,2,2.0,97,0.58,2024-10-27,50
$130.00,Entire home/apt,Middle Village,Entire guesthouse,4,1.0,33,0.19,2015-05-09,365
,Entire home/apt,Ridgewood,Entire rental unit,7,,5,0.03,2015-05-29,365
$350.00,Entire home/apt,Middle Village,Entire townhouse,12,8.0,16,0.1,2019-08-09,335
$200.00,Private room,Harlem,Private room in rental unit,2,1.0,0,,,365
$96.00,Private room,Park Slope,Private room in guest suite,2,1.0,186,1.09,2024-11-01,244
,Entire home/apt,Harlem,Entire rental unit,5,,143,0.85,2023-12-02,89
,Private room,Jamaica,Private room in home,2,,62,0.36,2018-01-01,0
$125.00,Private room,East Harlem,Private room in guest suite,2,1.0,304,1.78,2024-10-19,317
$178.00,Private room,Williamsburg,Private room in rental unit,1,1.0,113,0.82,2024-10-14,50
,Private room,Fort Greene,Private room in rental unit,1,,42,0.25,2023-09-01,0
$79.00,Private room,Harlem,Private room in rental unit,2,1.0,272,1.61,2023-09-16,89
$108.00,Entire home/apt,Ditmars Steinway,Entire rental unit,3,2.0,163,0.96,2024-07-09,342
$292.00,Private room,Brooklyn Heights,Private room in rental unit,2,1.0,295,1.74,2023-11-08,154
,Entire home/apt,Hell's Kitchen,Entire rental unit,2,,131,0.8,2023-04-18,0
$42.00,Private room,Harlem,Private room in rental unit,2,1.0,683,4.15,2024-10-05,300
$150.00,Entire home/apt,Lower East Side,Entire rental unit,2,1.0,60,0.36,2023-06-27,365
$262.00,Entire home/apt,Ridgewood,Entire rental unit,9,6.0,4,0.03,2023-02-10,365
,Entire home/apt,East Village,Entire rental unit,2,,37,0.22,2023-09-03,0
,Entire home/apt,Greenwich Village,Entire rental unit,3,,9,0.05,2019-07-31,0
$110.00,Entire home/apt,East Harlem,Entire rental unit,2,1.0,196,1.19,2023-10-12,92
$89.00,Private room,Harlem,Private room in rental unit,2,2.0,282,1.67,2023-10-19,89
,Private room,Harlem,Private room in rental unit,2,,3,0.04,2019-10-20,0
$185.00,Entire home/apt,East Village,Entire rental unit,6,2.0,167,0.99,2024-10-10,339
,Entire home/apt,Upper West Side,Entire rental unit,6,,4,0.02,2017-08-25,0
$65.00,Private room,Harlem,Private room in rental unit,1,1.0,2,0.03,2024-08-27,135
$285.00,Entire home/apt,Greenpoint,Entire home,4,1.0,172,1.03,2023-11-14,180
$89.00,Private room,Clason Point,Private room in home,3,2.0,0,,,0
$124.00,Entire home/apt,Eastchester,Entire rental unit,2,1.0,57,0.41,2023-10-01,358
,Entire home/apt,Bedford-Stuyvesant,Entire townhouse,2,,266,1.58,2019-12-08,0
,Entire home/apt,East Village,Entire rental unit,2,,0,,,0
$75.00,Private room,Crown Heights,Private room in rental unit,2,1.0,46,0.27,2022-11-12,338
$65.00,Private room,Crown Heights,Private room in home,2,1.0,256,1.55,2024-08-07,336
,Entire home/apt,Williamsburg,Entire rental unit,2,,56,0.33,2020-09-05,0
,Entire home/apt,Williamsburg,Entire rental unit,3,,165,0.98,2023-06-17,16
$190.00,Entire home/apt,Carroll Gardens,Entire rental unit,4,2.0,68,0.44,2020-03-22,49
$349.00,Entire home/apt,East Village,Entire loft,2,1.0,170,1.47,2024-10-22,101
$299.00,Entire home/apt,Nolita,Entire rental unit,7,3.0,211,1.3,2023-06-21,365
$220.00,Entire home/apt,Gowanus,Entire rental unit,2,1.0,247,1.63,2024-10-15,325
$164.00,Entire home/apt,Williamsburg,Entire townhouse,4,2.0,83,0.5,2024-10-03,58
,Private room,Astoria,Private room in rental unit,1,,0,,,0
$225.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,38,0.24,2024-02-22,262
$657.00,Entire home/apt,Nolita,Entire loft,6,3.0,248,1.49,2024-08-11,218
$160.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,67,0.44,2024-10-13,105
,Entire home/apt,Greenpoint,Entire loft,4,,48,0.29,2014-05-13,0
$90.00,Entire home/apt,Kingsbridge,Entire rental unit,2,1.0,16,0.21,2023-05-28,256
,Entire home/apt,Upper West Side,Entire rental unit,2,,37,0.23,2019-02-15,0
$124.00,Private room,Astoria,Private room in rental unit,3,2.0,268,1.64,2023-12-02,365
,Entire home/apt,Greenpoint,Entire rental unit,3,,3,0.02,2019-10-30,0
$120.00,Entire home/apt,Chinatown,Entire rental unit,2,1.0,423,2.54,2024-11-01,302
$221.00,Private room,Bedford-Stuyvesant,Private room in loft,2,1.0,20,0.12,2012-09-30,364
$399.00,Hotel room,Greenpoint,Room in boutique hotel,2,1.0,68,0.41,2024-09-08,151
,Entire home/apt,Clinton Hill,Entire townhouse,5,,11,0.1,2019-01-02,34
$70.00,Private room,East Village,Private room in rental unit,2,2.0,233,1.41,2024-02-01,365
,Hotel room,Greenpoint,Room in boutique hotel,4,,10,0.06,2022-09-12,0
,Private room,Greenpoint,Room in boutique hotel,4,,10,0.06,2022-10-22,0
,Private room,Greenpoint,Room in boutique hotel,4,,2,0.01,2011-05-12,0
$140.00,Entire home/apt,East Village,Entire rental unit,2,1.0,283,1.72,2024-10-16,349
$165.00,Entire home/apt,Bedford-Stuyvesant,Entire townhouse,5,3.0,82,0.76,2024-09-10,204
$56.00,Entire home/apt,Bushwick,Entire rental unit,3,2.0,251,1.52,2024-10-19,318
$184.00,Private room,Downtown Brooklyn,Private room in bed and breakfast,1,1.0,5,0.03,2014-12-18,327
$399.00,Hotel room,Greenpoint,Room in boutique hotel,2,1.0,35,0.22,2024-08-11,158
$800.00,Entire home/apt,Clinton Hill,Entire rental unit,10,0.0,0,,,358
,Entire home/apt,Bedford-Stuyvesant,Entire loft,5,,173,1.05,2023-11-01,194
$145.00,Entire home/apt,Crown Heights,Entire rental unit,2,1.0,156,0.95,2024-10-30,70
$171.00,Private room,Clinton Hill,Private room in condo,5,3.0,11,0.07,2019-12-10,364
$150.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,18,0.11,2015-12-08,308
